,Cell ID,Vehicle ID,Start time,End time
0,39,162,2019-11-30 10:00:11,
1,41,17,2019-11-30 10:00:00,
2,41,48,2019-11-30 10:00:00,
3,42,17,2019-11-30 10:00:00,
4,42,18,2019-11-30 10:00:00,
5,42,48,2019-11-30 10:00:00,
6,42,16,2019-11-30 10:00:02,
7,42,73,2019-11-30 10:00:04,
8,42,133,2019-11-30 10:00:09,
9,43,18,2019-11-30 10:00:00,
10,43,19,2019-11-30 10:00:01,
11,43,48,2019-11-30 10:00:01,
12,43,16,2019-11-30 10:00:02,
13,43,17,2019-11-30 10:00:02,
14,43,73,2019-11-30 10:00:04,
15,43,127,2019-11-30 10:00:07,
16,43,133,2019-11-30 10:00:08,
17,43,136,2019-11-30 10:00:08,
18,43,120,2019-11-30 10:00:09,
19,43,82,2019-11-30 10:00:09,
20,44,19,2019-11-30 10:00:00,
21,44,46,2019-11-30 10:00:00,
22,44,18,2019-11-30 10:00:00,
23,44,73,2019-11-30 10:00:02,
24,44,82,2019-11-30 10:00:03,
25,44,114,2019-11-30 10:00:06,
26,44,120,2019-11-30 10:00:06,
27,44,133,2019-11-30 10:00:22,
28,44,233,2019-11-30 10:00:28,
29,45,82,2019-11-30 10:00:05,
30,45,19,2019-11-30 10:00:06,
31,45,46,2019-11-30 10:00:06,
32,45,114,2019-11-30 10:00:06,
33,45,53,2019-11-30 10:00:09,
34,45,18,2019-11-30 10:00:14,
35,45,120,2019-11-30 10:00:16,
36,45,133,2019-11-30 10:00:22,
37,45,147,2019-11-30 10:00:26,
38,46,14,2019-11-30 10:00:00,
39,46,56,2019-11-30 10:00:01,
40,46,53,2019-11-30 10:00:01,
41,46,114,2019-11-30 10:00:09,
42,46,147,2019-11-30 10:00:10,
43,46,46,2019-11-30 10:00:10,
44,46,19,2019-11-30 10:00:10,
45,46,18,2019-11-30 10:00:22,
46,46,120,2019-11-30 10:00:25,
47,47,15,2019-11-30 10:00:00,
48,47,55,2019-11-30 10:00:01,
49,47,97,2019-11-30 10:00:04,
50,47,153,2019-11-30 10:00:11,
51,47,43,2019-11-30 10:00:24,
52,47,95,2019-11-30 10:00:28,
53,47,58,2019-11-30 10:00:31,
54,48,43,2019-11-30 10:00:00,
55,48,15,2019-11-30 10:00:01,
56,48,58,2019-11-30 10:00:01,
57,48,172,2019-11-30 10:00:13,
58,48,98,2019-11-30 10:00:32,
59,49,31,2019-11-30 10:00:00,
60,49,9,2019-11-30 10:00:00,
61,49,42,2019-11-30 10:00:00,
62,49,44,2019-11-30 10:00:00,
63,49,223,2019-11-30 10:00:23,
64,49,242,2019-11-30 10:00:34,
65,50,31,2019-11-30 10:00:12,
66,50,204,2019-11-30 10:00:20,
67,50,42,2019-11-30 10:00:22,
68,50,223,2019-11-30 10:00:34,
69,51,200,2019-11-30 10:00:19,
70,51,202,2019-11-30 10:00:19,
71,51,209,2019-11-30 10:00:20,
72,51,67,2019-11-30 10:00:21,
73,51,63,2019-11-30 10:00:21,
74,51,204,2019-11-30 10:00:21,
75,51,44,2019-11-30 10:00:22,
76,51,228,2019-11-30 10:00:27,
77,51,68,2019-11-30 10:00:33,
78,52,63,2019-11-30 10:00:02,
79,52,67,2019-11-30 10:00:02,
80,52,68,2019-11-30 10:00:02,
81,53,63,2019-11-30 10:00:21,
82,56,0,2019-11-30 10:00:00,
83,57,63,2019-11-30 10:00:02,
84,57,67,2019-11-30 10:00:02,
85,57,68,2019-11-30 10:00:02,
86,58,6,2019-11-30 10:00:00,
87,58,44,2019-11-30 10:00:20,
88,58,204,2019-11-30 10:00:21,
89,58,202,2019-11-30 10:00:23,
90,58,200,2019-11-30 10:00:27,
91,58,228,2019-11-30 10:00:27,
92,59,5,2019-11-30 10:00:00,
93,59,44,2019-11-30 10:00:19,
94,59,204,2019-11-30 10:00:19,
95,59,211,2019-11-30 10:00:20,
96,59,42,2019-11-30 10:00:22,
97,59,31,2019-11-30 10:00:28,
98,59,223,2019-11-30 10:00:34,
99,61,12,2019-11-30 10:00:00,
100,61,94,2019-11-30 10:00:04,
101,61,95,2019-11-30 10:00:04,
102,61,98,2019-11-30 10:00:04,
103,61,153,2019-11-30 10:00:27,
104,61,97,2019-11-30 10:00:30,
105,62,55,2019-11-30 10:00:08,
106,62,97,2019-11-30 10:00:12,
107,62,172,2019-11-30 10:00:12,
108,62,15,2019-11-30 10:00:13,
109,62,153,2019-11-30 10:00:24,
110,63,53,2019-11-30 10:00:01,
111,64,13,2019-11-30 10:00:00,
112,64,52,2019-11-30 10:00:01,
113,64,53,2019-11-30 10:00:04,
114,64,78,2019-11-30 10:00:08,
115,64,19,2019-11-30 10:00:10,
116,64,7,2019-11-30 10:00:10,
117,64,120,2019-11-30 10:00:17,
118,64,18,2019-11-30 10:00:18,
119,64,23,2019-11-30 10:00:18,
120,64,114,2019-11-30 10:00:23,
121,64,46,2019-11-30 10:00:25,
122,64,147,2019-11-30 10:00:26,
123,64,174,2019-11-30 10:00:27,
124,64,84,2019-11-30 10:00:27,
125,65,7,2019-11-30 10:00:00,
126,65,66,2019-11-30 10:00:02,
127,65,46,2019-11-30 10:00:09,
128,65,19,2019-11-30 10:00:11,
129,65,18,2019-11-30 10:00:14,
130,65,120,2019-11-30 10:00:26,
131,65,114,2019-11-30 10:00:26,
132,65,243,2019-11-30 10:00:34,
133,66,99,2019-11-30 10:00:04,
134,66,100,2019-11-30 10:00:04,
135,66,18,2019-11-30 10:00:05,
136,66,73,2019-11-30 10:00:06,
137,66,126,2019-11-30 10:00:07,
